City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Jawhar,SO,75.97,clear sky,2.78,45.5,cosoble spare parts
14,Butaritari,KI,81.12,overcast clouds,3.07,172.79,Isles Sunset Lodge
16,Hithadhoo,MV,83.05,clear sky,-0.6,73.08,Scoop Guest House
26,Banda Aceh,ID,80.35,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
29,Cabo San Lucas,MX,81.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
33,Sao Jose Da Coroa Grande,BR,76.64,overcast clouds,-8.9,-35.15,CrÃ´a Mares Hotel
37,Dalby,AU,75.0,clear sky,-27.18,151.27,Kobbers Motor Inn Dalby
42,Luanda,AO,75.45,broken clouds,-8.84,13.23,EPIC SANA Luanda
43,Kano,NG,78.51,clear sky,12.0,8.52,La Sultana Hotel
46,Gizo,SB,84.72,overcast clouds,-8.1,156.84,Imagination Island
48,Kailua,US,84.0,moderate rain,21.4,-157.74,Sheffield House Bed & Breakfast
49,Luganville,VU,80.01,light rain,-15.53,167.17,The Espiritu Hotel
52,Luwuk,ID,80.98,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
54,Davila,PH,80.65,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
58,Takoradi,GH,77.67,light rain,4.88,-1.76,Raybow International Hotel
59,Kahului,US,82.99,light rain,20.89,-156.47,Maui Seaside Hotel
69,Arraial Do Cabo,BR,75.52,clear sky,-22.97,-42.03,Pousada Porto Praia
71,Touros,BR,78.51,overcast clouds,-5.2,-35.46,INN NEW HORIZON
73,Hatillo,PR,81.0,few clouds,18.49,-66.83,Hotel Parador El Buen Cafe
75,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
77,Kapaa,US,77.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
88,Palmerston,AU,82.99,clear sky,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
92,Da Nang,VN,75.36,overcast clouds,16.07,108.22,Grand Mercure Danang
94,Kaya,BF,80.26,clear sky,13.09,-1.08,Maison de l'appelÃ©
103,Notse,TG,75.22,broken clouds,6.95,1.17,Le Berceau
107,Dingle,PH,78.67,broken clouds,11.0,122.67,Camp Pasica
111,Noumea,NC,84.0,clear sky,-22.28,166.46,HÃ´tel Le Lagon
123,Atar,MR,82.04,few clouds,20.52,-13.05,Oumou Elghoura
125,Maryborough,AU,77.0,clear sky,-25.53,152.7,Blue Shades Motel
128,Alepe,CI,75.51,light rain,5.5,-3.66,BENENE 1
132,Marataizes,BR,77.99,clear sky,-21.04,-40.82,Ed. Barra Shopping
134,Hilo,US,82.99,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
141,Witu,KE,78.8,few clouds,-2.39,40.44,New City Guest House
142,Atuona,PF,77.95,broken clouds,-9.8,-139.03,Villa Enata
152,Faanui,PF,79.77,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Pitimbu,BR,77.81,overcast clouds,-7.47,-34.81,Reserva do AbiaÃ­
163,Jalingo,NG,77.34,clear sky,8.88,11.37,Debright Motel
164,Sabang,ID,82.35,overcast clouds,5.89,95.32,Hotel Citra
169,Edgewater,US,80.01,broken clouds,28.99,-80.9,Islander Beach Resort
171,Nieuw Amsterdam,SR,81.0,broken clouds,5.88,-55.08,Hotel Stardust
175,Bonthe,SL,79.23,light rain,7.53,-12.51,Bonthe Holiday Village
178,Mount Isa,AU,78.1,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
183,Sulangan,PH,83.44,broken clouds,11.14,123.72,Maia's Beach Resort
188,San Jose,US,81.0,clear sky,37.34,-121.89,The Westin San Jose
193,Santarem,BR,81.18,few clouds,-2.44,-54.71,Hotel Imperador
194,Bengkulu,ID,75.02,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
196,Akyab,MM,77.83,broken clouds,20.15,92.9,Hotel Memory
197,Porto Walter,BR,88.03,overcast clouds,-8.27,-72.74,Hotel Silva
201,Kloulklubed,PW,84.31,few clouds,7.04,134.26,Storyboard Beach Resort
210,Ahuimanu,US,84.0,moderate rain,21.44,-157.84,Paradise Bay Resort
211,Cairns,AU,87.01,clear sky,-16.92,145.77,Mantra Trilogy Cairns
212,Gboko,NG,78.04,broken clouds,7.32,9.0,Bays Garden Hotel
213,Porto Velho,BR,80.06,light rain,-8.76,-63.9,Hotel Vila Rica Porto Velho
218,Port Blair,IN,79.66,overcast clouds,11.67,92.75,Fortune Resort Bay Island
220,Maracacume,BR,77.97,scattered clouds,-2.04,-45.96,Motel imperial
222,Madang,PG,83.86,overcast clouds,-5.22,145.8,Comfort Inn Hotel
226,Katobu,ID,81.18,broken clouds,-4.94,122.53,La Ode Husein
227,Sao Joao Da Barra,BR,77.29,clear sky,-21.64,-41.05,Pousada Porto De Canoas
232,Mitsamiouli,KM,78.26,scattered clouds,-11.38,43.28,Foyer ADM
233,Agustin Codazzi,CO,80.29,light rain,10.03,-73.24,MOTEL LA GRANJA
238,Laguna,US,79.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
240,Afonso Bezerra,BR,76.19,scattered clouds,-5.5,-36.51,Pousada Shammah
242,Denpasar,ID,79.95,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
244,Palauig,PH,80.53,overcast clouds,15.44,119.9,Myhousebythesea
252,Carutapera,BR,79.11,scattered clouds,-1.2,-46.02,Lidera
254,Lingao,CN,77.11,scattered clouds,19.91,109.69,Lingao Ditai Inn
255,Guaymas,MX,82.0,clear sky,27.93,-110.9,Holiday Inn Express Guaymas
263,Waingapu,ID,82.09,clear sky,-9.66,120.26,Pondok Wisata Elim
265,San Carlos,VE,76.89,broken clouds,9.66,-68.58,Hotel Paternopoli
267,Balikpapan,ID,77.58,broken clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
272,Kavieng,PG,84.65,overcast clouds,-2.57,150.8,Nusa Island Retreat
273,Georgetown,MY,80.01,overcast clouds,5.41,100.34,Cititel Penang
280,Natal,BR,78.51,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
281,Poum,NC,77.18,clear sky,-20.23,164.02,GÃ®te kajeon
282,Neiafu,TO,75.29,clear sky,-18.65,-173.98,Mystic Sands
288,Lakatoro,VU,81.14,few clouds,-16.1,167.42,Lakatoro Palm Lodge
290,Lodwar,KE,83.88,clear sky,3.12,35.6,Turkwel Lodge
294,Honiara,SB,85.23,moderate rain,-9.43,159.95,Heritage Park Hotel
298,Vila Velha,BR,82.0,broken clouds,-20.33,-40.29,Hotel VitÃ³ria Palace
299,Bangonay,PH,79.48,scattered clouds,9.31,125.55,Great Lake Mainit Resort
301,Lalpur,IN,75.72,clear sky,22.2,69.97,Radhe Duplex Lalpur
311,Kualakapuas,ID,76.14,few clouds,-3.01,114.39,Guest House Izonk
312,Mormugao,IN,78.31,scattered clouds,15.4,73.8,Coconut Creek Resort
314,Port-Gentil,GA,78.51,overcast clouds,-0.72,8.78,Fengshui Residence
319,Guanica,PR,77.0,few clouds,17.97,-66.91,Copamarina Beach Resort & Spa
320,Tomatlan,MX,84.4,light rain,19.93,-105.25,Norma franco
321,La Primavera,CO,80.83,light rain,5.49,-70.41,La Riviera Hotel Colonial
322,Isangel,VU,78.33,few clouds,-19.55,169.27,Volcano Sea View Tree House
324,Praia,CV,79.38,overcast clouds,14.92,-23.51,LT Aparthotel
328,Fuente De Oro,CO,78.91,broken clouds,3.46,-73.61,UrbanizaciÃ³n Casabrava
330,Salalah,OM,78.26,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
333,Tautira,PF,77.0,broken clouds,-17.73,-149.15,Pension Oaoa
337,Teknaf,BD,76.82,few clouds,20.86,92.31,Magnum Engineering & Construction
343,Todos Santos,MX,81.0,clear sky,23.45,-110.22,Hotel California Todos Santos
350,Galle,LK,78.26,broken clouds,6.04,80.22,Amangalla
354,Itarema,BR,78.6,clear sky,-2.92,-39.92,Windvillage
363,Luangwa,ZM,81.73,clear sky,-15.62,30.42,Gerasimos Safari Lodge
367,Itaituba,BR,84.33,overcast clouds,-4.28,-55.98,Hotel Campos
368,Mahibadhoo,MV,82.8,light rain,3.78,72.97,Omadhoo Inn
374,Gigmoto,PH,81.5,light rain,13.78,124.39,Cj's Travellers Inn
375,Santa Cruz,BO,87.84,clear sky,-17.8,-63.17,Hotel Cortez
376,Pascagoula,US,77.0,very heavy rain,30.37,-88.56,Regency Inn
378,Alice Springs,AU,80.37,clear sky,-23.7,133.88,Desert Palms Alice Springs
381,Vaitape,PF,80.6,few clouds,-16.52,-151.75,Conrad Bora Bora Nui
387,Half Moon Bay,US,75.99,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
389,Barreirinhas,BR,79.99,clear sky,-2.75,-42.83,Gran LenÃ§Ã³is Flat Residence
390,Samarai,PG,81.95,broken clouds,-10.62,150.67,Nuli Sapi
391,Cravo Norte,CO,81.77,scattered clouds,6.3,-70.2,Hotel El Puerto
392,Corn Island,NI,83.21,overcast clouds,12.17,-83.04,Big Fish Guest House
395,Fare,PF,80.64,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
404,Hambantota,LK,78.01,overcast clouds,6.12,81.12,Bungalow 63
405,Wajid,SO,75.13,broken clouds,3.81,43.25,Hotel Haji Aden Yare
406,Celestun,MX,81.9,clear sky,20.87,-90.4,Posada Lilia
407,Kiunga,PG,82.38,broken clouds,-6.12,141.29,Airport Lodge Kiunga
408,Yulara,AU,82.62,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
409,Daru,PG,80.83,moderate rain,-9.08,143.21,New century hotel
411,Borba,BR,81.73,broken clouds,-4.39,-59.59,Hotel da AmazÃ´nia
424,Olinda,BR,78.24,overcast clouds,-8.01,-34.86,Hotel 5 SÃ³is
425,Weligama,LK,76.8,broken clouds,5.97,80.42,Weligama Bay Resort
433,Hobyo,SO,78.93,broken clouds,5.35,48.53,Osmani Hotel
440,Wanning,CN,78.33,overcast clouds,18.8,110.4,Paradise Hotel
441,Meulaboh,ID,75.58,overcast clouds,4.14,96.13,Kost Pria
443,Ewa Beach,US,84.0,light rain,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
446,Mamallapuram,IN,77.83,overcast clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
449,Praya,CV,79.38,overcast clouds,14.92,-23.51,LT Aparthotel
451,Cayenne,GF,81.25,few clouds,4.93,-52.33,HÃ´tel Le Dronmi
454,Cozumel,MX,84.0,moderate rain,20.51,-86.95,Cozumel PalaceÂ® All Inclusive Resort
459,Russell,US,78.01,overcast clouds,32.35,-85.2,Macs
469,Araguacu,BR,75.6,overcast clouds,-12.93,-49.83,Brunas Park Hotel
475,Uribia,CO,84.74,broken clouds,11.71,-72.27,Hotel Uribia
476,Puerto Gaitan,CO,82.45,broken clouds,4.31,-72.08,Brisas del Yucao
477,Santa Isabel,BR,84.0,clear sky,-23.32,-46.22,ChÃ¡cara Sombra do AltÃ­ssimo
482,Cururupu,BR,76.46,clear sky,-1.83,-44.87,Pousada TravÃ©s'cia
485,Morro Bay,US,78.01,clear sky,35.37,-120.85,Inn at Morro Bay
487,Port Antonio,JM,82.0,clear sky,18.18,-76.46,Trident Hotel
491,Montalvo,EC,87.55,overcast clouds,-1.8,-79.33,Motel Los Laureles
502,Tiruchchendur,IN,79.16,clear sky,8.48,78.12,Hotel Udhayam International
505,Atambua,ID,79.27,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
508,Sao Filipe,CV,80.28,scattered clouds,14.9,-24.5,Tortuga B&B
513,La Asuncion,VE,80.24,scattered clouds,11.03,-63.86,Colinas de Matasiete
517,Itoman,JP,75.96,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
519,Marsh Harbour,BS,81.25,scattered clouds,26.54,-77.06,Abaco Beach Resort
523,Ghanzi,BW,75.29,clear sky,-21.57,21.78,Ghanzi Farmhouse
526,Wad Rawah,SD,84.27,clear sky,15.16,33.14,ÙˆØ¯ Ø§Ù„ØªØ±Ø§Ø¨ÙŠ
529,Amuntai,ID,75.25,scattered clouds,-2.42,115.25,Hotel Balqis
532,Black River,JM,82.0,broken clouds,18.03,-77.85,Idlers' Rest Beach Hotel
537,Jizan,SA,77.67,clear sky,17.33,42.67,Ø´Ù‡Ø¯Ø§Ù†. Ø§Ø¨ÙˆØ§Ù„Ø­Ø¬Ø±
540,Kununurra,AU,88.72,broken clouds,-15.77,128.73,Hotel Kununurra
544,Bairiki,KI,81.12,clear sky,1.33,172.98,Tarawa Boutique Hotel
549,San Francisco,US,75.0,clear sky,37.77,-122.42,The Clift Royal Sonesta Hotel
552,Elmina,GH,77.88,scattered clouds,5.09,-1.35,Esteem Kofi and Adjoa Guesthouse
554,Bubaque,GW,83.43,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
556,Pangkalanbuun,ID,76.89,light rain,-2.68,111.62,Grand Kecubung Hotel
559,Ariquemes,BR,83.86,light rain,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
563,Rodrigues Alves,BR,86.05,broken clouds,-7.74,-72.65,Pousada Aconchego
570,Eyl,SO,77.79,broken clouds,7.98,49.82,Amiin Hotel
573,Coos Bay,US,77.0,clear sky,43.37,-124.22,Best Western Holiday Hotel
584,Iralaya,HN,81.32,scattered clouds,15.0,-83.23,Iglesia morava renovada
585,Ugoofaaru,MV,82.44,few clouds,5.67,73.0,Ungoofaaru Inn
587,Teahupoo,PF,75.0,light rain,-17.83,-149.27,Vanira Lodge
590,Ouro Preto Do Oeste,BR,81.54,light rain,-10.75,-62.22,GraÃºna Resort Hotel
591,Tecoanapa,MX,83.59,few clouds,16.52,-98.75,Hotel Manglares
593,Wahiawa,US,84.0,light rain,21.5,-158.02,Aloha Wahiawa
594,Lorengau,PG,84.96,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
597,Benguela,AO,76.5,light rain,-12.58,13.41,Hotel Praia Morena
599,Abaete,BR,77.74,broken clouds,-19.16,-45.45,Hotel Millenium
604,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
605,Ambon,ID,82.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
608,Inirida,CO,78.1,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
611,Namatanai,PG,84.54,overcast clouds,-3.67,152.43,Namatanai Hotel
612,Aquiraz,BR,81.0,clear sky,-3.9,-38.39,Hotel Laguna Blu
622,Sorong,ID,77.13,overcast clouds,-0.88,131.25,The Waigo Hotel
623,Tera,NE,83.14,clear sky,14.01,0.75,Hotel Daressalam TÃ©ra
626,Santa Rosa,PH,77.0,overcast clouds,14.31,121.11,Erlynâ€™s Sta Rosa City Home
629,Hirara,JP,77.25,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
632,Abeche,TD,82.56,scattered clouds,13.83,20.83,Assaleh Hamdan Haroune
636,Kolondieba,ML,75.2,broken clouds,11.09,-6.89,Hotel Dakan
639,Richards Bay,ZA,76.37,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
642,Sinnamary,GF,81.59,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
646,Miraflores,MX,75.0,scattered clouds,19.22,-98.81,Hotel MansiÃ³n
649,Moranbah,AU,79.41,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
652,Yarada,IN,78.75,few clouds,17.65,83.27,"D-26/2, Dolphin Hill,"
656,Sragen,ID,78.28,overcast clouds,-7.43,111.02,Graha Hotel Sragen
667,Mangrol,IN,76.68,clear sky,21.12,70.12,Hotel The Royal Honours
672,Bosaso,SO,77.02,clear sky,11.28,49.18,Red Sea Hotel
673,Kishi,NG,75.18,clear sky,9.08,3.85,AMARC GUEST HOUSE
674,Jacareacanga,BR,82.29,light rain,-6.22,-57.75,Casa do IanðŸ˜Ž
675,Maumere,ID,82.26,scattered clouds,-8.62,122.21,Sylvia Hotel
