City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mangai,CD,-4.05,19.53,68.27,99,94,1.61,overcast clouds
1,Rikitea,PF,-23.12,-134.97,74.93,82,71,12.3,broken clouds
2,Yellowknife,CA,62.46,-114.35,24.01,96,96,4.45,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,39.43,85,48,4.74,light rain
4,Matamoros,MX,25.53,-103.25,70.54,23,0,7.11,clear sky
5,Afsin,TR,38.25,36.91,47.73,53,6,1.9,clear sky
6,Jawhar,SO,2.78,45.5,75.97,91,2,4.88,clear sky
7,Punta Arenas,CL,-53.15,-70.92,48.0,70,86,13.0,light rain
8,Dolinsk,RU,47.35,142.8,47.44,84,76,17.25,light rain
9,Homer,US,59.64,-151.55,39.0,64,60,1.01,broken clouds
10,Tiksi,RU,71.69,128.87,0.25,89,99,17.29,overcast clouds
11,Brae,GB,60.4,-1.35,48.58,84,100,8.28,light rain
12,Sitka,US,57.05,-135.33,46.54,67,34,4.59,scattered clouds
13,Bluff,NZ,-46.6,168.33,54.0,79,100,5.01,overcast clouds
14,Butaritari,KI,3.07,172.79,81.12,71,100,3.49,overcast clouds
15,Zyryanovsk,KZ,49.74,84.27,33.12,94,100,3.69,light snow
16,Hithadhoo,MV,-0.6,73.08,83.05,74,3,12.21,clear sky
17,Vaini,TO,-21.2,-175.2,73.26,72,0,20.07,clear sky
18,Bambous Virieux,MU,-20.34,57.76,70.0,76,68,1.99,broken clouds
19,Hermanus,ZA,-34.42,19.23,63.0,65,85,1.01,overcast clouds
20,Santona,ES,43.44,-3.46,57.99,83,50,3.0,scattered clouds
21,Tura,IN,25.52,90.22,70.09,91,0,4.03,clear sky
22,Port Alfred,ZA,-33.59,26.89,66.69,85,93,5.01,overcast clouds
23,Milkovo,RU,54.72,158.62,33.39,94,99,2.17,overcast clouds
24,Dinghai,CN,26.28,119.79,67.98,79,98,17.29,overcast clouds
25,Sept-Iles,CA,50.2,-66.38,32.0,78,100,8.01,overcast clouds
26,Banda Aceh,ID,5.56,95.32,80.35,69,100,10.78,overcast clouds
27,Yerbogachen,RU,61.28,108.01,17.49,87,100,13.24,overcast clouds
28,Kodiak,US,57.79,-152.41,40.66,69,53,4.5,broken clouds
29,Cabo San Lucas,MX,22.89,-109.91,81.0,59,5,3.0,clear sky
30,Amapa,BR,1.0,-52.0,84.4,55,88,5.53,overcast clouds
31,Tuktoyaktuk,CA,69.45,-133.04,20.48,96,99,19.89,overcast clouds
32,Cherskiy,RU,68.75,161.3,5.31,94,99,5.08,overcast clouds
33,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.64,79,100,11.12,overcast clouds
34,Mataura,NZ,-46.19,168.86,54.0,79,100,5.01,overcast clouds
35,Benavente,ES,42.0,-5.68,52.0,79,6,1.19,clear sky
36,Hobart,AU,-42.88,147.33,63.0,61,8,3.0,clear sky
37,Dalby,AU,-27.18,151.27,75.0,34,0,3.0,clear sky
38,Nikolskoye,RU,59.7,30.79,44.01,93,58,1.01,broken clouds
39,Albany,US,42.6,-73.97,48.0,89,50,3.31,scattered clouds
40,Carnarvon,AU,-24.87,113.63,71.89,66,0,13.94,clear sky
41,Bilma,NE,18.69,12.92,72.28,19,0,5.08,clear sky
42,Luanda,AO,-8.84,13.23,75.45,87,60,7.85,broken clouds
43,Kano,NG,12.0,8.52,78.51,22,0,5.41,clear sky
44,Port Elizabeth,ZA,-33.92,25.57,62.01,92,68,1.57,broken clouds
45,Husavik,IS,66.04,-17.34,39.2,80,75,16.11,drizzle
46,Gizo,SB,-8.1,156.84,84.72,74,93,8.75,overcast clouds
47,Pinawa,CA,50.15,-95.88,24.75,91,69,6.96,broken clouds
48,Kailua,US,21.4,-157.74,84.0,68,11,8.19,moderate rain
49,Luganville,VU,-15.53,167.17,80.01,75,39,17.05,light rain
50,Clyde River,CA,70.47,-68.59,14.9,89,96,5.86,overcast clouds
51,Longyearbyen,SJ,78.22,15.64,21.92,95,99,5.44,light snow
52,Luwuk,ID,-0.95,122.79,80.98,68,92,2.86,overcast clouds
53,Chokurdakh,RU,70.63,147.92,-5.12,91,43,7.36,scattered clouds
54,Davila,PH,18.47,120.58,80.65,80,100,14.18,overcast clouds
55,Amli,IN,20.28,73.02,74.21,57,0,3.02,clear sky
56,Krasnoselkup,RU,65.7,82.47,-0.78,90,0,11.63,clear sky
57,Kibre Mengist,ET,5.88,38.98,58.51,89,76,1.32,broken clouds
58,Takoradi,GH,4.88,-1.76,77.67,88,51,7.31,light rain
59,Kahului,US,20.89,-156.47,82.99,72,14,5.99,light rain
60,Upernavik,GL,72.79,-56.15,12.07,82,9,10.11,clear sky
61,Lompoc,US,34.64,-120.46,73.99,30,0,3.0,clear sky
62,Qaanaaq,GL,77.48,-69.36,7.77,74,11,11.27,few clouds
63,Cidreira,BR,-30.18,-50.21,66.52,87,5,5.64,clear sky
64,Te Anau,NZ,-45.42,167.72,60.75,60,71,2.21,broken clouds
65,Avarua,CK,-21.21,-159.78,72.66,81,40,16.64,scattered clouds
66,Pisco,PE,-13.7,-76.22,64.0,85,33,11.99,scattered clouds
67,Busselton,AU,-33.65,115.33,61.0,49,0,12.39,clear sky
68,East London,ZA,-33.02,27.91,68.13,84,96,4.47,overcast clouds
69,Arraial Do Cabo,BR,-22.97,-42.03,75.52,92,0,11.72,clear sky
70,Magadan,RU,59.57,150.8,30.34,87,92,5.77,overcast clouds
71,Touros,BR,-5.2,-35.46,78.51,73,86,13.15,overcast clouds
72,Ribeira Grande,PT,38.52,-28.7,66.83,84,4,18.32,clear sky
73,Hatillo,PR,18.49,-66.83,81.0,94,17,16.64,few clouds
74,Surt,LY,31.21,16.59,69.62,66,0,15.66,clear sky
75,Gat,IL,31.61,34.76,75.0,100,98,3.0,overcast clouds
76,Newport,GB,51.59,-3.0,52.0,83,37,5.99,light rain
77,Kapaa,US,22.08,-159.32,77.0,59,28,9.26,light rain
78,Cape Town,ZA,-33.93,18.42,60.01,89,100,4.0,light rain
79,Saint-Pierre,RE,-21.34,55.48,60.01,90,93,1.99,overcast clouds
80,Provideniya,RU,64.38,-173.3,26.38,88,70,1.34,broken clouds
81,The Pas,CA,53.83,-101.25,20.48,87,0,2.8,clear sky
82,Lithakia,GR,37.72,20.83,62.01,68,9,8.55,clear sky
83,Prince Rupert,CA,54.32,-130.32,48.42,75,100,3.09,overcast clouds
84,Puerto Ayora,EC,-0.74,-90.35,68.0,93,97,3.0,overcast clouds
85,Bredasdorp,ZA,-34.53,20.04,63.0,65,100,1.01,overcast clouds
86,Lebu,CL,-37.62,-73.65,50.81,68,19,19.44,few clouds
87,Bethel,US,41.37,-73.41,52.0,95,93,5.64,overcast clouds
88,Palmerston,AU,-12.49,130.98,82.99,77,8,2.73,clear sky
89,Bellevue,US,47.61,-122.2,60.01,81,26,3.8,scattered clouds
90,Saint-Philippe,RE,-21.36,55.77,60.01,90,96,1.99,overcast clouds
91,Sucua,EC,-2.47,-78.17,74.68,77,100,1.81,moderate rain
92,Da Nang,VN,16.07,108.22,75.36,86,99,8.68,overcast clouds
93,Lavrentiya,RU,65.58,-171.0,27.14,86,98,2.95,overcast clouds
94,Kaya,BF,13.09,-1.08,80.26,15,0,7.4,clear sky
95,Belgrade,RS,44.8,20.47,54.0,89,94,1.01,light rain
96,Barentu,ER,15.11,37.59,73.49,48,0,5.26,clear sky
97,Kushima,JP,31.46,131.23,66.0,75,31,3.31,scattered clouds
98,Saint George,US,37.1,-113.58,73.99,20,0,1.99,clear sky
99,Mataundh,IN,25.45,80.15,69.01,29,0,2.33,clear sky
100,Komsomolskiy,UZ,40.43,71.72,43.75,56,100,0.87,overcast clouds
101,Misratah,LY,32.38,15.09,68.88,66,14,16.73,few clouds
102,Barrow,US,71.29,-156.79,26.6,53,90,9.17,overcast clouds
103,Notse,TG,6.95,1.17,75.22,89,75,5.82,broken clouds
104,Skelleftea,SE,64.75,20.95,44.01,99,100,5.97,overcast clouds
105,Thompson,CA,55.74,-97.86,14.85,87,57,5.23,broken clouds
106,Pueblo Bello,CO,8.2,-76.53,76.3,93,94,3.98,overcast clouds
107,Dingle,PH,11.0,122.67,78.67,87,51,3.27,broken clouds
108,Tezu,IN,27.92,96.17,70.2,47,0,3.4,clear sky
109,Nouadhibou,MR,20.93,-17.03,74.79,61,100,17.07,overcast clouds
110,Florianopolis,BR,-27.61,-48.5,72.0,73,0,5.41,light rain
111,Noumea,NC,-22.28,166.46,84.0,86,0,9.78,clear sky
112,Jamestown,US,42.1,-79.24,48.99,80,55,1.01,broken clouds
113,Quatre Cocos,MU,-20.21,57.76,70.0,77,56,1.99,broken clouds
114,Acatlan,MX,20.15,-98.45,66.63,62,15,5.86,few clouds
115,San Cristobal,VE,7.77,-72.22,69.3,87,94,1.34,moderate rain
116,Petropavlovka,RU,50.61,105.32,30.33,86,10,2.84,clear sky
117,Hamilton,US,39.18,-84.53,54.0,85,100,1.01,overcast clouds
118,Kasongo-Lunda,CD,-6.47,16.82,70.86,93,99,2.64,overcast clouds
119,Vila Franca Do Campo,PT,37.72,-25.43,66.0,73,41,7.34,scattered clouds
120,New Norfolk,AU,-42.78,147.06,63.0,61,6,1.99,clear sky
121,Skibbereen,IE,51.55,-9.27,52.52,76,100,17.52,light rain
122,Chumphon,TH,10.33,98.83,73.0,97,100,4.61,light rain
123,Atar,MR,20.52,-13.05,82.04,21,12,9.35,few clouds
124,Vestmannaeyjar,IS,63.44,-20.27,45.61,76,100,38.25,overcast clouds
125,Maryborough,AU,-25.53,152.7,77.0,62,3,5.99,clear sky
126,Cuamba,MZ,-14.8,36.54,72.18,62,30,3.76,scattered clouds
127,Codrington,AU,-38.27,141.97,53.06,86,63,8.52,moderate rain
128,Alepe,CI,5.5,-3.66,75.51,93,98,4.47,light rain
129,Norman Wells,CA,65.28,-126.83,20.21,95,93,3.38,overcast clouds
130,Westerland,DE,54.91,8.3,50.0,87,99,3.0,overcast clouds
131,Hay River,CA,60.82,-115.8,21.85,95,27,1.16,scattered clouds
132,Marataizes,BR,-21.04,-40.82,77.99,87,0,17.87,clear sky
133,Chapais,CA,49.78,-74.85,31.19,99,100,13.65,overcast clouds
134,Hilo,US,19.73,-155.09,82.99,83,38,1.01,scattered clouds
135,Luderitz,NA,-26.65,15.16,60.15,68,92,13.22,overcast clouds
136,Airai,TL,-8.93,125.41,67.42,66,60,1.95,broken clouds
137,Kaitangata,NZ,-46.28,169.85,51.01,86,100,11.34,overcast clouds
138,Usevya,TZ,-7.1,31.23,76.53,48,68,4.21,broken clouds
139,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.54,90,86,11.41,overcast clouds
140,Aleppo,SY,36.25,37.5,67.37,40,0,8.01,clear sky
141,Witu,KE,-2.39,40.44,78.8,83,20,5.82,few clouds
142,Atuona,PF,-9.8,-139.03,77.95,73,58,13.27,broken clouds
143,Linxia,CN,35.6,103.21,35.19,82,0,1.43,clear sky
144,Souillac,MU,-20.52,57.52,70.0,76,92,1.99,overcast clouds
145,Narsaq,GL,60.92,-46.05,30.2,80,100,4.7,overcast clouds
146,Constitucion,CL,-35.33,-72.42,56.79,63,0,17.98,clear sky
147,Lagoa,PT,39.05,-27.98,65.34,77,3,10.38,clear sky
148,Awjilah,LY,29.11,21.29,64.11,65,0,8.21,clear sky
149,Khash,IR,28.22,61.22,41.32,64,0,2.73,clear sky
150,Slave Lake,CA,55.28,-114.77,38.66,79,0,2.86,clear sky
151,Fortuna,US,40.6,-124.16,70.0,51,0,4.07,clear sky
152,Faanui,PF,-16.48,-151.75,79.77,81,18,17.65,few clouds
153,Saskylakh,RU,71.92,114.08,4.53,91,99,10.67,overcast clouds
154,Duldurga,RU,50.68,113.59,27.09,87,74,1.97,broken clouds
155,Saint-Joseph,RE,-21.37,55.62,60.01,90,94,1.99,overcast clouds
156,Dongli,CN,23.57,116.82,72.45,67,93,5.44,overcast clouds
157,Kybartai,LT,54.64,22.76,50.56,84,40,7.34,scattered clouds
158,Uruguaiana,BR,-29.75,-57.09,67.71,74,0,11.41,clear sky
159,Pitimbu,BR,-7.47,-34.81,77.81,78,97,11.83,overcast clouds
160,Kaeo,NZ,-35.1,173.78,62.98,90,100,7.25,overcast clouds
161,Yumen,CN,40.28,97.2,31.62,89,0,6.46,clear sky
162,Tandil,AR,-37.32,-59.13,49.89,80,67,7.31,broken clouds
163,Jalingo,NG,8.88,11.37,77.34,41,8,2.59,clear sky
164,Sabang,ID,5.89,95.32,82.35,74,100,17.98,overcast clouds
165,Tortoli,IT,39.93,9.66,59.0,64,4,4.0,clear sky
166,Tullow,IE,52.8,-6.74,44.01,81,54,1.99,broken clouds
167,Fairbanks,US,64.84,-147.72,18.0,83,61,2.55,broken clouds
168,Bara,NG,10.37,10.73,75.81,34,58,3.91,broken clouds
169,Edgewater,US,28.99,-80.9,80.01,86,67,1.99,broken clouds
170,Dikson,RU,73.51,80.55,3.0,91,1,23.02,clear sky
171,Nieuw Amsterdam,SR,5.88,-55.08,81.0,88,65,5.01,broken clouds
172,Oschersleben,DE,52.03,11.25,52.0,77,84,7.0,broken clouds
173,Chiredzi,ZW,-21.05,31.67,71.67,33,0,6.98,clear sky
174,Khandyga,RU,62.67,135.6,12.24,96,100,1.9,overcast clouds
175,Bonthe,SL,7.53,-12.51,79.23,84,50,6.71,light rain
176,Amazar,RU,53.86,120.88,18.14,88,0,1.52,clear sky
177,Peyima,SL,8.7,-11.03,72.01,76,62,1.95,broken clouds
178,Mount Isa,AU,-20.73,139.5,78.1,16,0,13.67,clear sky
179,Rocha,UY,-34.48,-54.33,58.08,69,100,15.08,overcast clouds
180,Castro,BR,-24.79,-50.01,64.11,52,0,1.99,clear sky
181,Vao,NC,-22.67,167.48,72.54,74,0,17.29,clear sky
182,Sistranda,NO,63.73,8.83,46.0,72,56,4.0,broken clouds
183,Sulangan,PH,11.14,123.72,83.44,77,78,11.63,broken clouds
184,Gawler,AU,-34.6,138.73,64.0,61,74,10.0,light rain
185,Korla,CN,41.76,86.15,45.0,67,46,11.52,scattered clouds
186,Ilulissat,GL,69.22,-51.1,14.0,61,100,3.36,overcast clouds
187,Kruisfontein,ZA,-34.0,24.73,62.01,92,60,1.28,broken clouds
188,San Jose,US,37.34,-121.89,81.0,16,0,1.01,clear sky
189,Monterey,US,36.25,-121.25,73.99,22,0,4.97,clear sky
190,Abu Samrah,SY,35.3,37.18,63.01,62,82,3.87,broken clouds
191,Beloha,MG,-25.17,45.05,69.46,79,3,18.88,clear sky
192,Verkhnevilyuysk,RU,63.45,120.32,-1.37,92,32,2.71,scattered clouds
193,Santarem,BR,-2.44,-54.71,81.18,71,15,3.56,few clouds
194,Bengkulu,ID,-3.8,102.27,75.02,84,100,3.96,overcast clouds
195,San Vicente,AR,-26.62,-54.13,67.59,50,0,2.64,light rain
196,Akyab,MM,20.15,92.9,77.83,88,53,6.51,broken clouds
197,Porto Walter,BR,-8.27,-72.74,88.03,54,88,2.82,overcast clouds
198,Tasiilaq,GL,65.61,-37.64,33.8,37,100,20.8,overcast clouds
199,Santa Lucia,ES,27.91,-15.54,71.01,64,67,11.1,broken clouds
200,Creston,US,41.06,-94.36,46.0,52,93,2.42,overcast clouds
201,Kloulklubed,PW,7.04,134.26,84.31,72,23,11.1,few clouds
202,Coihaique,CL,-45.58,-72.07,42.67,75,34,8.32,scattered clouds
203,Talnakh,RU,69.49,88.4,-0.87,75,0,5.7,clear sky
204,Bilibino,RU,68.05,166.44,-0.85,87,39,1.03,scattered clouds
205,Jibuti,DJ,11.5,42.5,71.91,70,0,13.13,clear sky
206,Yaan,NG,7.38,8.57,76.71,79,94,5.06,overcast clouds
207,Haines Junction,CA,60.75,-137.51,31.05,92,99,2.19,overcast clouds
208,Chuy,UY,-33.7,-53.46,58.17,87,88,14.65,light rain
209,Pevek,RU,69.7,170.31,21.87,95,100,16.71,overcast clouds
210,Ahuimanu,US,21.44,-157.84,84.0,68,11,7.76,moderate rain
211,Cairns,AU,-16.92,145.77,87.01,71,0,1.01,clear sky
212,Gboko,NG,7.32,9.0,78.04,78,74,7.67,broken clouds
213,Porto Velho,BR,-8.76,-63.9,80.06,72,84,2.82,light rain
214,Qujing,CN,25.48,103.78,54.91,90,100,2.55,overcast clouds
215,San Lawrenz,MT,36.06,14.2,64.99,70,0,11.01,clear sky
216,Ponta Do Sol,PT,32.67,-17.1,64.0,63,92,1.01,overcast clouds
217,Guapore,BR,-28.85,-51.89,71.01,84,0,1.39,clear sky
218,Port Blair,IN,11.67,92.75,79.66,80,90,2.68,overcast clouds
219,Mar Del Plata,AR,-38.0,-57.56,57.99,59,100,5.01,light rain
220,Maracacume,BR,-2.04,-45.96,77.97,79,38,6.24,scattered clouds
221,Geraldton,AU,-28.77,114.6,70.12,46,0,14.79,clear sky
222,Madang,PG,-5.22,145.8,83.86,71,100,3.44,overcast clouds
223,Katsuura,JP,35.13,140.3,62.01,75,2,3.0,clear sky
224,Gayeri,BF,12.65,0.49,78.57,17,12,4.43,few clouds
225,Balezino,RU,57.98,53.01,31.01,94,73,11.52,broken clouds
226,Katobu,ID,-4.94,122.53,81.18,69,78,3.09,broken clouds
227,Sao Joao Da Barra,BR,-21.64,-41.05,77.29,89,0,21.83,clear sky
228,Sorland,NO,67.67,12.69,45.27,75,2,15.99,clear sky
229,Shache,CN,38.42,77.24,42.08,55,100,1.5,overcast clouds
230,Avera,US,33.19,-82.53,78.01,91,80,10.16,broken clouds
231,Nanortalik,GL,60.14,-45.24,32.72,92,100,15.28,overcast clouds
232,Mitsamiouli,KM,-11.38,43.28,78.26,76,43,7.47,scattered clouds
233,Agustin Codazzi,CO,10.03,-73.24,80.29,72,23,3.04,light rain
234,Kholm-Zhirkovskiy,RU,55.52,33.47,41.45,92,4,7.11,clear sky
235,Umm Kaddadah,SD,13.6,26.69,83.03,22,0,12.73,clear sky
236,Severo-Kurilsk,RU,50.68,156.12,44.46,78,69,6.2,broken clouds
237,Havre-Saint-Pierre,CA,50.23,-63.6,30.34,91,99,10.63,overcast clouds
238,Laguna,US,38.42,-121.42,79.0,23,0,1.01,clear sky
239,Flin Flon,CA,54.77,-101.86,19.54,85,49,1.5,scattered clouds
240,Afonso Bezerra,BR,-5.5,-36.51,76.19,70,38,19.28,scattered clouds
241,Oyama,JP,36.3,139.8,63.0,75,0,5.35,clear sky
242,Denpasar,ID,-8.65,115.22,79.95,82,54,6.78,broken clouds
243,Wamba,NG,8.93,8.6,73.65,52,3,3.4,clear sky
244,Palauig,PH,15.44,119.9,80.53,74,100,2.89,overcast clouds
245,Mahebourg,MU,-20.41,57.7,70.0,76,77,1.99,broken clouds
246,Cortez,US,37.35,-108.59,52.0,46,0,3.0,clear sky
247,Aksu,CN,41.12,80.26,45.1,50,100,2.77,light rain
248,Laramie,US,41.31,-105.59,37.0,64,30,3.76,scattered clouds
249,Kemin,KG,42.78,75.69,29.86,83,91,1.95,overcast clouds
250,Yar-Sale,RU,66.83,70.83,5.79,88,45,14.74,scattered clouds
251,Torbay,CA,47.67,-52.73,36.0,86,96,7.38,overcast clouds
252,Carutapera,BR,-1.2,-46.02,79.11,82,38,7.27,scattered clouds
253,Klaksvik,FO,62.23,-6.59,47.93,81,96,17.02,overcast clouds
254,Lingao,CN,19.91,109.69,77.11,87,42,20.8,scattered clouds
255,Guaymas,MX,27.93,-110.9,82.0,12,0,5.99,clear sky
256,Huangnihe,CN,43.56,128.02,30.0,84,0,6.11,clear sky
257,Copiapo,CL,-27.37,-70.33,63.68,55,0,4.79,clear sky
258,Goundam,ML,16.41,-3.67,86.02,13,73,7.67,broken clouds
259,Naze,JP,28.37,129.48,71.2,74,48,7.56,scattered clouds
260,Zhoucheng,CN,35.91,116.31,55.62,46,99,2.01,overcast clouds
261,Tateyama,JP,34.98,139.87,62.01,75,6,3.0,clear sky
262,Flagstaff,US,35.2,-111.65,57.99,27,0,1.01,clear sky
263,Waingapu,ID,-9.66,120.26,82.09,73,3,8.28,clear sky
264,Opunake,NZ,-39.46,173.86,64.0,89,100,8.01,overcast clouds
265,San Carlos,VE,9.66,-68.58,76.89,88,69,2.35,broken clouds
266,Odweyne,SO,9.41,45.06,67.01,42,1,1.03,clear sky
267,Balikpapan,ID,-1.27,116.83,77.58,86,56,2.95,broken clouds
268,Rundu,NA,-17.93,19.77,72.12,51,34,7.67,scattered clouds
269,Hasaki,JP,35.73,140.83,65.91,58,16,8.01,few clouds
270,Berlevag,NO,70.86,29.09,38.82,83,97,10.6,overcast clouds
271,Necochea,AR,-38.55,-58.74,55.0,73,61,8.01,broken clouds
272,Kavieng,PG,-2.57,150.8,84.65,66,100,4.07,overcast clouds
273,Georgetown,MY,5.41,100.34,80.01,88,100,1.99,overcast clouds
274,Bykovo,RU,55.64,38.08,41.0,8,0,6.22,clear sky
275,Baghdad,IQ,33.34,44.4,68.95,22,18,5.53,few clouds
276,Tazovskiy,RU,67.47,78.7,-2.96,87,0,6.44,clear sky
277,Fengrun,CN,39.83,118.12,46.44,44,78,0.51,broken clouds
278,Prachin Buri,TH,14.08,101.67,73.0,95,100,3.36,light rain
279,Sechura,PE,-5.56,-80.82,70.34,68,82,16.04,broken clouds
280,Natal,BR,-5.79,-35.21,78.51,70,63,10.85,broken clouds
281,Poum,NC,-20.23,164.02,77.18,75,0,22.82,clear sky
282,Neiafu,TO,-18.65,-173.98,75.29,74,0,21.27,clear sky
283,Bar Harbor,US,44.39,-68.2,43.0,71,100,12.64,overcast clouds
284,Shimanovsk,RU,52.0,127.7,27.79,94,100,7.99,overcast clouds
285,Arden,DK,56.77,9.86,45.0,94,64,1.01,broken clouds
286,Khatanga,RU,71.97,102.5,-1.34,86,0,6.62,clear sky
287,Comodoro Rivadavia,AR,-45.87,-67.5,57.25,36,0,3.44,clear sky
288,Lakatoro,VU,-16.1,167.42,81.14,67,11,16.28,few clouds
289,Saldanha,ZA,-33.01,17.94,59.25,87,100,9.53,overcast clouds
290,Lodwar,KE,3.12,35.6,83.88,50,10,18.21,clear sky
291,Garachine,PA,8.06,-78.36,80.06,83,43,9.04,light rain
292,Adrar,MR,20.5,-10.07,80.28,17,0,10.29,clear sky
293,San Patricio,US,28.02,-97.52,66.99,43,0,4.0,clear sky
294,Honiara,SB,-9.43,159.95,85.23,73,80,7.14,moderate rain
295,La Ronge,CA,55.1,-105.28,26.4,94,98,2.51,overcast clouds
296,Roald,NO,62.58,6.13,48.0,77,97,5.01,light rain
297,Aripuana,BR,-9.17,-60.63,80.01,77,97,1.25,light rain
298,Vila Velha,BR,-20.33,-40.29,82.0,82,63,15.93,broken clouds
299,Bangonay,PH,9.31,125.55,79.48,79,40,1.57,scattered clouds
300,Zhezkazgan,KZ,47.8,67.71,27.95,92,69,5.97,broken clouds
301,Lalpur,IN,22.2,69.97,75.72,61,0,7.92,clear sky
302,Beniganj,IN,27.28,80.45,66.47,38,0,4.16,clear sky
303,Srednekolymsk,RU,67.45,153.68,7.95,93,96,1.52,overcast clouds
304,Yanaul,RU,56.27,54.93,29.97,94,21,11.52,few clouds
305,Rawson,AR,-43.3,-65.1,51.31,46,21,12.21,few clouds
306,Naryan-Mar,RU,67.67,53.09,36.54,98,100,9.55,light rain
307,Henties Bay,NA,-22.12,14.28,57.99,89,20,1.99,few clouds
308,Huaihua,CN,27.55,109.96,56.14,77,77,2.13,broken clouds
309,Zhigansk,RU,66.77,123.37,-9.65,90,59,5.55,broken clouds
310,Arandis,NA,-22.42,14.97,57.99,89,1,1.99,clear sky
311,Kualakapuas,ID,-3.01,114.39,76.14,92,24,1.81,few clouds
312,Mormugao,IN,15.4,73.8,78.31,67,35,5.23,scattered clouds
313,Broome,US,42.25,-75.83,46.99,94,48,1.99,scattered clouds
314,Port-Gentil,GA,-0.72,8.78,78.51,86,100,9.06,overcast clouds
315,Leh,IN,34.17,77.58,28.87,75,0,3.76,clear sky
316,Sur,OM,22.57,59.53,69.64,59,0,2.28,clear sky
317,Bolshaya Izhora,RU,59.94,29.58,44.01,93,61,1.01,broken clouds
318,Craigieburn,AU,-37.6,144.95,69.01,72,12,10.0,few clouds
319,Guanica,PR,17.97,-66.91,77.0,89,17,5.08,few clouds
320,Tomatlan,MX,19.93,-105.25,84.4,70,37,6.42,light rain
321,La Primavera,CO,5.49,-70.41,80.83,79,42,4.88,light rain
322,Isangel,VU,-19.55,169.27,78.33,63,17,17.18,few clouds
323,Musoma,TZ,-1.5,33.8,70.39,75,55,7.92,broken clouds
324,Praia,CV,14.92,-23.51,79.38,84,92,10.13,overcast clouds
325,Madimba,TZ,-10.4,40.33,74.46,87,74,4.74,broken clouds
326,Zalantun,CN,48.0,122.72,27.45,83,0,4.14,clear sky
327,Inhambane,MZ,-23.86,35.38,72.55,88,17,10.58,few clouds
328,Fuente De Oro,CO,3.46,-73.61,78.91,79,54,3.13,broken clouds
329,Tonekabon,IR,36.82,50.87,66.06,66,42,2.42,scattered clouds
330,Salalah,OM,17.02,54.09,78.26,71,20,3.2,few clouds
331,Nelson Bay,AU,-32.72,152.15,66.0,97,56,3.0,broken clouds
332,Ostrovnoy,RU,68.05,39.51,37.22,88,84,14.32,broken clouds
333,Tautira,PF,-17.73,-149.15,77.0,83,55,17.0,broken clouds
334,Shubarshi,KZ,48.59,57.19,35.04,77,33,4.41,scattered clouds
335,Penzance,GB,50.12,-5.54,48.99,100,100,4.0,overcast clouds
336,Hovd,MN,48.01,91.64,31.57,84,27,4.61,scattered clouds
337,Teknaf,BD,20.86,92.31,76.82,88,24,5.48,few clouds
338,Kamenka,RU,51.32,42.77,34.52,80,0,8.46,clear sky
339,Pangnirtung,CA,66.15,-65.71,8.74,79,22,4.65,few clouds
340,Marsa Matruh,EG,31.35,27.25,73.47,54,0,13.2,clear sky
341,Okha,RU,53.57,142.95,37.45,83,63,3.89,broken clouds
342,Daye,CN,30.08,114.95,60.6,84,93,2.46,overcast clouds
343,Todos Santos,MX,23.45,-110.22,81.0,56,0,5.01,clear sky
344,Nantucket,US,41.28,-70.1,57.0,95,94,8.99,overcast clouds
345,Broken Hill,AU,-31.95,141.43,69.51,37,33,10.8,scattered clouds
346,Manta,EC,-0.95,-80.73,73.56,78,79,14.09,broken clouds
347,Esperance,AU,-33.87,121.9,58.3,64,0,11.43,clear sky
348,Pratapgarh,IN,24.03,74.78,66.94,38,0,4.0,clear sky
